Position CC / OVC (Picklist Label),Company (Label),Position Country (code),Legal Entity (Label),Legal Entity (Legal Entity Code),Location (Location Name),Business unit (Label),Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Position Position Title (Label),Position Job Function (Label),Work Contract (Picklist Label),CC / OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Gearing/Gashing/Turning-0572-T2OC10M3,MP SmallGear RCellSH,Operator - Gearing/Gashing/Turning (Cell H),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,MPTechServShovelsSH,Industrial Engineer III,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Deburrer-Grinder-0750-T2OC5M3,MPHeatTreat perHr SH,Deburrer/Grinder,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Longview LeT - LeT Mining Products,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Sr. CAD-PDM Administrator,Engineering Admin,Engineering PDM Administrator III,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Director Trade Custom Compliance,Customs Compliance,Trade and Customs Compliance Director,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Inspector - Laser-Faro-Cal-7364-T2OC10M3,Adm Qual Engineer,Inspector – Laser/Faro/Cal,Manufacturing Quality,Indl-Mat. Handl (IC),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Logistics Supervisor II,Fullfillment,Procurement Supervisor,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Advisor,Advisor,Functional Engineer,Contractor - Engineer,Contingent Worker,Temporary (K3),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Gear Finishing-0622-T2OC10M3,MP GearFinishCell SH,Op Vertical Gear Grind & CNC Gr Hobber,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,P&H Security,"Contractor, Admin - Security Personnel",Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,Functional Engineer,Engineer V,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-CNC Maintenance Electrician - Basic Machine Repair-7169-T2OC12M2,MP Maintenance SH,TAP - Maintenance Electrical,Manufacturing,Indirect (IG),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Technologist III,XR Drills,Senior Technical Specialist,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Chicago Headquarters,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,Shovel Engineering,Engineer III,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,Drill CPS,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Project Manager III,Global Logistics,Logistics Project Manager,Planning/Project Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,XR Drills,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,"Technical Director, Automation Innovation",AD COE,"Technical Director, Automation Innovation",Product Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Technologist III,Shovel Engineering,Senior Technical Specialist,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,Functional Engineer,Engineer III,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Technical Writer III,Tech Comm,Illustrated Parts Catalog Editor III,Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Cust Service,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Regional Support Representative III,Customer Service,Regional Support Representative III,Customer Service,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Shovel Engineering,Contractor - LTTS Offshore,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Technologist II,Functional Engineer,Technical Specialist III,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer II,XT Drills,Lead Engineer II,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-CNC Maintenance Electrician - Basic Machine Repair-7169-T1OC12M3,MP Maintenance SH,CNC Maint Electric/Basic Machine Repair,Manufacturing,Maint-Machinery (IL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Advisor,Temporary Contractor,Pyramid Services,Engineer Contractor,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer I,Functional Engineer,Principal Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr Financial Analyst,Ops Accounting,Sr. Financial Analyst,Finance,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Gear Finishing-0622-T1OC10M3,MP GearFinishCell SH,Op Vertical Gear Grind & CNC Gr Hobber,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Plan/ProjMgt,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Project Manager I,Service Planning,Project Manager - Service Planning,Planning/Project Management,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-CNC Maintenance Electrician - Basic Machine Repair-7169-T1OC12M3,MP Maintenance SH,Electrician - CNC Maintenance,Manufacturing,Maint-Machinery (IL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Product Manager IV,Product Mgmt -Drills,Program Manager - Drills,Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Engineer IV,Pyramid Engineering,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Engineer III,Pyramid Engineering,Engineer III,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Engineer III,Pyramid Engineering,Product Support Engineer,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - CNC Gear Hobber/CNC Longbed Lathe W/Live Spindle-0577-T2OC10M3,MP Grp Lead Rotat,Cell C - Large Gear Roughing,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Finance,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Ops Accounting,Partner Auditor - Contractor,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Global Demand Manager,Parts Forecasting,Global Demand Manager,Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Inspector - Assembly-Machining-7711-T2OC10M3,Adm Qual Engineer,Assembly Inspector - CMM,Manufacturing Quality,Indl-Inspection (IA),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,Functional Engineer,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Heavy Fab Leader-4530-T2OC11M3,Carbody -Assembly SH,Heavy Fab Leader,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,International Trade Compliance Analyst,Customs Compliance,Trade and Customs Compliance Analyst,Supply Chain,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Machine Repairman - Basic electrical-7173-T2OC11M3,MP Maintenance SH,"Machine Repairman, Specialist/Basic Elec",Manufacturing,Indirect (IG),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Wireman-Tester - 2673 - T2OC11M3,MFG Assembly Drills,Wireman - Tester,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer II,Drill CPS,Lead Engineer II,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,Functional Engineer,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Customer Fulfillment Specialist,Pyramid Cust Serv,Regional Customer Fulfillment Specialist,Sales,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Accounts Payable Specialist,Accounts Payable,Accounts Payable Specialist,Finance,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Shovel Engineering,Contractor - LTTS Offshore,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Factory Service Representative III,Product Support,Factory Service Representative III,Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Technologist III,XR Drills,Senior Technical Specialist,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer I,AAG Technology Arch,Principal Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Shovel Engineering,Contractor - LTTS Offshore,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Regional Product Support Manager I,Used Parts,Product Manager - Reman,Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer II,Shovel Engineering,Lead Engineer II,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Digital Solutions Analyst,Aftermarket Ops,Digital Solutions Analyst,Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Shovel Engineering,Contractor - LTTS Offshore,Contingent Worker,,CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Loader-Setup(Gantry)-1088-T1OC6BM3,Carbody-Machining SH,Loader-Helper (Gantry),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer II,XT Drills,Lead Engineer II,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - HMC-CNC VTL - LRP-0497-T2OC8M3,MPLargeRdPtsCellSH,Cell H Operator,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer I,Shovel Engineering,Lead Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Assembler Trainee,OE Hourly Support SH,GPS Intern - Manufacturing,Manufacturing,Indirect (IG),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Lead Engineer I,XR Drills,Lead Engineer,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Assembler-2108-T2OC6BM2,MP Subassembly SH,Assembler,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Product Manager IV,Prod Mgmt - Shovels,Program Manager - Shovels,Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,XR Drills,Engineer V,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Logistics Supervisor II,Fullfillment,Procurement Supervisor,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Peoria,Aftrmkt Spt,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Product Manager IV,Mining Strat Plannng,Program Manager,Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Finance Manager I,Loading BU Executive,FP&A Manager,Finance,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Product Manager IV,Parts Forecasting,Program Manager Global Demand Planning,Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Lead Manufacturing Engineer,MPTechServShovelsSH,Lead Automation Programmer and Manufacturing Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer II,Drill CPS,Engineer II,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Op Ex,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Global Servce Excell,Contractor - Technical Writer,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Principle Operator Instructor / Developer,Prod Training & Publ,Principle Operator Instructor,Training & Technical Communications,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Gearing/Gashing/Turning-0572-T2OC10M2,MP SmallGear RCellSH,Operator - Gearing/Gashing/Turning,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Plan/ProjMgt,Komatsu Mining Technologies,Selling,Contingent,Fixed Term,Advisor,Temporary Contractor,Used Parts,Contractor - Reman,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Engineer II,Adm Qual Engineer,Senior Supplier Quality Engineer,Manufacturing Quality,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Project Manager VIII,Drills BU Sales & De,"New Product Introduction Manager, Drills",Planning/Project Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Advisor,Temporary Contractor,Functional Engineer,Advisor,Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,MPTechServShovelsSH,Manufacturing Engineer-Automation/Programmer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Shovel Engineering,Contractor - LTTS Offshore,Contingent Worker,,CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Maintenance Man - Heat Treat - 6360 - T1OC12M3,MP Maintenance SH,Heat Treat - Maintenance Man,Manufacturing,Indirect (IG),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer III,Fullfillment,Buyer-Planner ll - Subcontract,Supply Chain,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder B-4525-T2OC9M3,Carbody -Welding SH,Welder B,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Junior Project Manager,Parts Marketing,Aftermarket Project Coordinator - Digital,Planning/Project Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Senior Dispatch Specialist,Global Logistics,Senior Dispatch Specialist,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,International Trade Compliance Analyst,Customs Compliance,Trade & Customs Compliance Analyst,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Modular Mining Systems Inc,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,,Cloud Integration Engineer,MTS - Data Solutions,Cloud Integration Engineer,Information Technology,,CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M1,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M1,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Plan/ProjMgt,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Facilities Project Manager,Adm MP Gen Admin,Facilities Coordinator,Planning/Project Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,"Director, Program Management Office",Mining Strat Plannng,"Director, Program Management Office",Research & Development,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Frieght Settlements Analyst,Global Logistics,Freight Settlements Analyst,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Curriculum Support Administrator,Prod Training & Publ,Curriculum Support Administrator,Training & Technical Communications,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Op Ex,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Sr. Global Service Excellence Manager,Global Servce Excell,Sr. Global Service Excellence Manager,Operational Excellence,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,Mfg Other,Industrial Engineer-Advanced Manufacturing,Engineering,Tech & Spec Sal (SE),CC
